FC,Oxy,pH,TSS,Temp,TPN,TP,Turb
89,79,86,74,76,100,88,74
84,88,75,73,78,100,100,73
84,78,81,85,71,100,99,90
75,78,79,72,74,100,98,80
88,76,81,77,65,100,94,85
90,79,83,86,64,100,100,88
97,79,85,82,72,100,100,88
91,80,82,73,75,100,100,80
90,76,77,72,70,100,100,80
82,74,84,69,67,100,100,74
89,70,80,76,64,100,98,86
97,71,84,75,66,100,99,81
85,70,84,51,67,100,88,56
83,81,84,60,77,100,100,77
82,80,86,77,67,100,100,87
89,81,91,90,88,100,100,100
95,85,74,70,76,100,93,67
100,78,77,67,67,99,71,64
97,85,80,60,79,100,82,60
100,85,80,66,72,100,96,65
99,84,73,77,74,100,96,82
100,87,74,68,78,100,91,63
100,82,75,75,58,100,90,73
100,82,79,73,69,100,100,81
100,86,73,76,66,100,100,75
99,84,62,60,70,100,100,71
100,79,71,74,62,100,100,73
92,84,77,63,78,96,93,57
98,81,75,64,59,100,73,71
98,82,82,69,66,100,93,66
100,87,81,63,68,100,89,57
87,82,74,62,74,100,93,61
92,84,79,74,66,100,98,74
100,86,80,74,77,100,93,70
100,85,74,65,66,100,100,60
99,85,77,60,65,100,51,52
100,79,80,73,79,100,50,75
100,84,86,76,81,100,84,73
100,86,79,72,77,100,98,72
100,84,78,77,75,100,96,74
100,85,84,71,79,100,95,62
99,84,82,78,57,100,91,71
100,84,81,76,65,100,100,82
100,85,81,74,68,100,100,74
100,80,74,62,68,100,100,75
98,79,76,77,62,100,100,72
100,85,79,67,79,95,94,61
100,83,79,52,66,100,94,70
100,86,77,69,69,100,99,64
96,88,82,63,74,96,95,59
98,85,73,61,67,100,95,73
100,88,74,75,59,100,100,82
92,88,91,31,82,90,33,27
81,89,96,30,83,89,40,29
78,89,94,31,79,69,31,30
89,89,92,59,89,91,70,54
86,92,88,51,90,86,55,45
96,93,90,64,89,93,63,59
90,93,86,59,83,93,64,60
82,93,78,32,84,87,44,40
89,89,96,46,86,93,58,45
88,92,97,13,87,92,16,10
90,89,96,45,88,95,54,40
93,91,98,46,89,93,60,43
91,89,92,48,89,94,57,38
87,89,95,28,90,92,18,28
91,90,94,60,80,80,55,60
86,89,98,18,85,95,2,10
89,92,97,42,92,95,23,46
98,87,86,47,80,95,51,53
91,89,96,45,85,90,55,60
97,100,96,78,98,96,74,68
90,84,91,46,83,98,58,59
89,86,94,48,85,96,48,54
83,88,96,38,89,91,51,38
86,84,86,75,77,98,83,81
89,83,96,58,89,94,71,65
93,88,88,72,84,99,88,79
93,88,97,80,86,99,88,83
71,87,99,59,86,95,78,70
96,85,97,53,78,99,75,63
96,85,96,27,75,98,34,34
96,86,97,53,74,99,74,58
90,84,96,51,80,98,85,68
95,86,97,54,85,99,82,62
89,84,91,53,87,98,60,61
92,86,93,58,82,99,67,55
89,86,92,54,84,97,60,63
88,89,92,50,88,98,56,67
99,80,67,51,85,99,84,76
94,82,92,66,84,98,89,85
98,93,96,64,88,77,66,63
92,93,88,62,93,83,78,59
94,92,94,34,89,76,48,44
91,89,94,73,90,86,67,73
95,92,88,62,94,53,95,59
100,93,95,80,90,80,94,72
99,96,97,70,88,84,95,74
92,93,96,36,90,70,70,44
100,94,97,81,89,52,95,72
100,94,97,22,90,88,87,43
98,95,97,68,90,89,100,59
100,93,97,70,90,84,100,63
96,94,90,62,90,87,94,50
96,94,91,51,92,83,58,61
98,83,90,65,91,85,86,66
96,90,92,34,85,74,72,47
96,93,94,60,90,84,69,63
99,91,94,48,88,83,99,69
98,93,93,67,90,82,99,59
81,82,94,54,60,88,50,48
80,83,92,46,72,80,48,39
81,83,92,29,79,81,44,26
86,88,96,43,76,88,63,35
77,94,93,61,83,81,64,58
86,89,96,73,83,87,65,61
65,91,97,53,87,80,61,51
67,94,94,18,71,76,19,10
90,92,93,51,59,92,51,47
85,89,76,3,59,90,1,1
83,90,95,52,66,91,71,46
85,92,94,63,76,83,82,61
75,90,95,52,87,86,59,40
74,88,91,62,82,87,72,65
90,84,90,60,66,90,51,48
86,95,90,52,66,87,46,51
77,93,92,41,78,89,40,44
91,91,94,60,80,91,79,63
86,86,94,72,73,85,79,68
80,66,92,49,61,79,49,41
77,76,86,47,75,83,60,41
93,79,92,55,68,82,48,48
78,81,83,36,61,89,65,17
89,86,92,52,67,81,57,43
84,85,96,52,70,89,38,56
73,80,97,58,76,90,64,57
69,82,96,20,68,80,24,13
88,74,94,52,51,92,43,46
82,76,92,19,52,92,20,14
77,80,94,54,64,90,64,39
84,83,93,66,72,89,85,66
75,84,95,49,81,88,52,37
84,78,93,61,77,90,58,53
91,70,91,64,66,91,55,57
90,79,93,57,62,89,55,54
68,84,92,26,77,94,53,34
89,76,95,70,73,90,78,73
83,74,92,65,73,88,67,62
97,100,94,52,100,96,58,47
87,73,90,30,64,97,21,19
66,81,92,20,76,91,45,9
92,80,90,56,77,94,47,44
83,83,95,58,79,89,72,45
92,84,92,45,89,92,46,38
80,89,94,46,85,97,41,52
86,85,90,39,76,98,41,32
92,86,95,44,78,95,32,33
91,79,93,34,71,99,31,21
78,78,87,4,59,97,1,1
88,79,88,39,70,97,47,29
81,83,90,53,75,94,75,51
69,87,96,38,85,94,33,23
80,84,92,58,83,96,50,47
90,70,92,68,66,97,59,56
89,79,95,53,70,96,59,50
71,89,90,32,86,97,53,31
93,79,96,70,74,98,79,73
81,78,93,47,74,94,54,43
74,88,83,77,73,80,75,72
78,93,92,71,83,76,69,71
75,89,90,69,81,77,63,73
79,89,92,87,79,83,81,89
88,88,92,72,94,76,83,73
88,92,90,85,86,83,87,86
81,89,88,88,85,87,93,91
90,92,93,75,80,81,85,83
87,87,92,74,72,88,87,81
85,85,92,66,65,85,79,68
74,84,90,80,69,86,92,78
86,91,95,79,73,86,97,84
73,89,92,65,83,87,86,68
85,89,87,67,78,86,68,69
85,82,88,73,77,91,76,77
89,87,88,68,77,87,74,72
83,93,87,64,82,89,60,66
93,92,93,76,78,87,89,85
86,87,89,86,78,84,90,89
97,87,92,91,67,96,96,89
87,86,90,72,82,94,82,73
96,87,88,82,79,91,70,79
89,86,92,92,70,95,86,90
94,83,90,74,79,92,84,77
99,89,94,90,74,92,96,92
89,84,95,88,77,96,99,91
97,83,94,81,74,93,95,88
91,77,93,80,73,95,91,82
94,79,94,89,69,94,100,88
92,78,94,91,70,96,100,87
89,80,94,86,76,95,99,86
84,85,93,80,82,94,99,80
91,85,87,70,81,95,85,72
90,79,87,74,78,96,80,73
88,88,89,71,69,93,69,73
89,85,92,80,78,96,95,84
90,92,93,80,74,95,94,84
87,81,90,80,75,91,91,85
60,89,80,75,73,73,72,72
68,91,90,76,84,64,78,75
64,88,88,74,79,73,64,72
70,83,88,88,78,82,82,88
82,93,80,66,91,75,78,75
84,91,92,81,84,79,84,83
85,93,94,75,79,82,83,80
84,89,89,74,76,81,84,82
82,88,90,82,67,87,87,85
83,86,92,81,63,86,99,84
87,87,86,77,65,86,94,78
81,89,91,77,71,83,93,83
73,87,89,67,81,84,81,68
84,86,85,67,69,81,80,71
83,88,83,73,71,88,76,78
83,88,89,69,72,86,74,71
83,89,79,71,81,87,47,73
83,88,92,68,70,85,83,77
90,86,89,83,70,86,86,87
88,78,92,80,80,91,66,83
91,81,94,77,86,89,89,75
93,78,86,80,87,89,69,77
87,79,92,87,88,91,84,82
90,78,90,75,92,89,86,76
92,82,94,85,88,92,94,91
86,85,93,87,87,91,90,89
89,83,95,78,84,88,88,82
89,74,94,88,80,90,92,90
86,71,92,88,76,92,100,87
87,77,83,81,78,89,99,82
82,73,91,78,82,92,99,85
82,79,92,66,83,92,82,67
84,76,89,75,81,91,86,79
88,76,87,72,82,94,77,76
91,79,89,74,82,92,85,83
85,81,85,68,87,93,75,77
85,80,90,71,83,93,88,82
85,71,89,75,79,91,88,83
72,85,88,78,70,78,75,82
68,88,91,56,82,79,64,63
72,86,96,75,79,79,60,82
63,89,83,81,75,76,76,88
72,84,90,88,85,84,86,91
78,96,85,83,82,91,83,96
67,82,75,82,79,88,85,94
68,91,88,60,67,79,67,71
72,90,73,85,69,84,82,96
68,90,65,82,74,88,100,94
81,89,78,88,70,80,96,91
75,96,81,87,74,90,98,94
79,92,73,77,79,90,89,79
79,89,61,80,77,88,90,90
84,88,76,74,74,92,91,92
76,84,67,81,74,92,85,92
81,93,69,72,81,83,79,81
85,93,84,86,75,91,97,99
70,89,93,84,76,90,93,97
87,96,98,93,91,94,91,97
99,91,95,92,88,91,96,96
97,89,97,94,89,92,98,98
100,85,91,99,88,92,75,100
95,89,90,98,89,94,83,99
97,89,94,98,91,92,89,99
98,92,96,95,90,94,92,100
84,93,92,93,89,92,92,96
97,91,96,98,89,93,91,100
89,91,95,98,87,92,92,99
93,89,96,100,80,94,100,100
93,92,94,99,90,90,98,99
94,90,98,98,86,93,100,100
83,90,95,99,88,93,100,100
82,88,89,98,88,92,99,100
98,90,96,96,91,96,96,99
93,93,97,95,84,95,99,99
93,93,94,88,85,93,80,88
90,85,97,98,91,95,100,100
89,87,93,96,85,95,100,100
62,76,96,74,58,58,57,75
52,79,90,70,70,32,50,71
64,81,97,60,85,60,44,61
74,78,94,86,70,57,61,86
71,83,94,79,81,56,63,80
87,88,94,84,80,69,62,90
72,87,96,78,86,72,63,86
68,90,96,71,70,67,59,83
75,87,96,75,59,72,59,80
84,83,97,78,69,67,68,87
61,85,97,72,68,46,63,78
84,88,96,83,74,64,71,88
73,85,96,74,79,66,74,77
69,80,93,73,75,59,62,77
78,74,95,77,69,66,60,80
69,82,95,81,73,49,56,87
77,85,92,59,78,72,48,62
75,91,94,82,76,64,65,86
81,80,91,80,72,70,59,86
90,84,96,38,70,41,71,45
91,83,92,65,78,49,66,50
91,82,88,52,80,44,21,36
86,81,77,69,77,61,52,74
93,80,92,73,82,27,60,58
92,85,86,79,74,60,63,71
85,87,93,76,71,55,65,72
88,87,94,72,80,46,63,60
90,86,93,62,78,53,54,56
90,79,98,72,78,47,97,65
83,86,89,64,74,44,81,60
88,84,91,81,73,50,100,74
77,84,92,53,79,54,81,53
87,83,96,71,80,44,71,47
93,82,90,59,76,61,56,47
93,87,97,71,75,58,78,65
88,86,92,33,71,48,31,32
92,83,94,76,74,57,84,71
91,80,95,84,68,48,83,72
98,95,96,86,93,60,89,85
93,85,95,66,69,80,67,57
91,81,92,50,78,58,62,38
92,82,88,59,59,77,41,46
94,83,83,79,69,86,63,59
89,87,88,51,86,74,43,37
61,88,92,64,75,61,44,40
93,81,96,67,75,61,52,54
93,86,96,69,73,86,62,64
96,89,86,78,64,91,46,68
91,82,88,68,66,90,69,53
81,84,92,73,76,78,58,58
97,82,91,62,69,82,55,50
92,83,97,61,79,90,78,46
97,89,93,82,82,90,82,75
94,85,95,73,64,93,48,53
93,83,98,80,74,91,78,73
94,91,97,73,84,90,76,75
97,89,97,80,73,91,79,77
91,84,94,80,76,90,75,71
74,87,92,81,88,7,63,77
76,92,94,85,76,23,75,87
69,91,92,74,84,37,59,71
83,79,86,85,84,35,63,80
87,83,83,87,95,23,62,89
87,88,90,78,95,26,61,78
76,89,93,92,89,57,70,93
82,88,93,80,88,23,65,84
85,87,89,84,84,17,67,82
62,81,90,75,83,32,74,79
83,88,95,83,80,23,84,81
87,86,92,91,74,1,83,89
80,86,92,88,87,1,85,84
86,95,97,85,83,14,73,84
85,86,96,90,77,17,71,88
72,85,95,81,86,21,69,77
80,96,96,75,82,11,70,75
87,95,96,84,85,27,76,86
81,92,94,77,84,37,71,78
100,88,95,64,85,98,75,61
99,85,93,66,81,99,70,51
100,88,88,68,90,98,61,58
100,82,91,74,77,99,66,69
98,92,90,60,96,66,59,48
98,86,94,70,85,100,79,66
100,84,93,82,82,99,93,75
100,86,96,68,84,99,56,61
94,86,92,60,75,99,39,49
96,84,95,41,82,99,49,36
99,80,93,56,73,98,58,42
99,85,86,76,74,98,96,70
92,89,80,54,82,95,49,34
97,89,78,45,84,99,37,31
96,84,93,67,80,100,76,63
99,78,93,63,87,99,60,58
98,93,97,56,93,99,66,47
97,93,89,21,94,95,15,14
90,92,88,2,92,91,1,1
100,100,96,28,100,97,34,39
86,79,93,79,77,64,95,86
86,86,84,73,76,50,95,82
85,83,87,73,81,82,97,80
94,87,87,61,88,36,86,74
87,81,94,69,75,46,74,71
87,73,93,71,77,71,78,74
87,87,94,52,76,65,56,57
93,87,77,82,85,69,100,91
85,88,96,78,82,56,87,86
100,99,87,89,99,55,93,88
91,88,96,78,81,47,93,82
95,90,82,76,84,51,95,81
93,89,89,74,77,78,95,79
92,92,87,68,86,34,80,70
85,89,93,60,74,40,57,54
97,82,94,74,80,70,78,78
95,89,91,48,82,75,48,48
98,90,91,82,86,67,98,90
90,89,90,80,85,55,84,87
83,76,95,69,81,61,89,82
84,81,81,63,85,46,92,80
82,81,88,75,79,78,97,84
92,82,83,75,86,36,85,80
88,77,89,88,79,37,92,94
91,72,91,72,79,68,77,77
89,84,94,57,73,68,65,67
94,87,97,81,85,62,97,92
86,86,96,80,82,45,89,90
75,80,96,29,73,53,28,24
66,80,96,54,71,52,51,51
63,73,93,36,82,43,29,34
78,78,96,68,80,54,69,63
82,88,96,36,89,34,34,33
75,85,96,55,83,63,58,54
80,82,94,60,83,63,69,68
86,81,96,51,77,46,52,55
81,79,96,42,76,70,52,44
78,79,96,15,78,64,18,12
78,78,97,39,78,61,49,33
84,81,98,43,82,58,51,35
78,83,97,48,84,57,55,39
84,88,97,31,87,61,16,24
79,85,97,47,71,72,42,47
81,79,95,34,79,73,22,28
71,90,96,37,88,62,11,32
80,80,97,38,85,69,42,48
84,85,93,40,83,54,45,48
67,71,96,73,81,14,71,74
61,79,88,81,85,19,74,76
64,79,90,74,90,36,55,73
66,80,93,82,87,26,74,75
53,85,95,79,81,19,78,84
79,86,92,84,87,23,80,89
63,88,93,83,84,22,82,80
47,85,95,56,74,16,61,63
72,86,93,72,72,18,63,71
65,83,85,47,75,14,48,44
76,83,96,73,76,47,81,70
70,88,95,75,81,31,84,70
76,82,92,74,76,40,82,69
64,77,96,79,85,32,74,78
74,84,96,77,83,41,78,83
79,80,96,77,75,46,73,76
66,80,91,66,83,52,56,66
78,82,83,77,81,34,76,81
79,77,93,87,86,41,84,87
86,79,92,15,73,29,26,14
77,82,96,3,80,12,11,3
94,82,80,3,76,12,10,7
87,85,86,14,68,24,39,13
74,89,77,2,77,8,17,4
94,93,93,19,76,21,27,31
79,86,94,22,78,37,40,25
76,89,93,1,78,2,12,7
95,87,79,29,68,25,38,26
88,85,82,1,65,36,1,1
90,90,83,23,67,45,49,19
93,90,61,40,76,18,68,34
82,89,95,16,83,28,30,12
88,84,91,15,84,14,42,24
89,72,92,27,75,38,27,25
91,87,81,5,64,33,27,10
87,90,92,2,77,30,19,10
94,80,93,37,77,36,55,42
85,83,93,19,79,10,46,17
91,84,88,31,73,34,43,32
87,87,92,38,76,54,55,42
90,82,83,29,83,24,28,31
88,78,77,45,80,49,54,50
96,85,86,51,84,26,62,42
95,92,93,70,81,45,77,63
91,95,94,60,79,49,82,66
84,90,93,18,76,25,36,19
99,89,95,71,63,17,61,64
93,88,87,18,55,54,43,20
91,85,89,45,56,64,83,45
94,92,83,81,65,39,100,74
89,89,85,60,68,55,97,52
95,91,88,65,76,51,74,61
87,76,91,70,75,52,79,64
95,85,86,43,57,54,55,44
86,88,92,43,70,46,47,41
97,89,95,68,74,52,85,65
92,86,92,82,75,37,95,75
99,100,94,74,97,54,72,63
68,76,90,47,77,74,45,45
58,79,96,43,73,72,33,41
54,81,97,38,82,80,29,36
60,77,88,46,82,77,44,43
79,85,88,48,85,77,31,40
80,86,96,45,83,90,25,28
76,86,96,34,85,87,24,27
74,81,96,23,78,79,11,20
79,88,92,17,73,85,7,8
76,87,96,2,85,77,1,1
81,83,96,22,82,82,18,27
83,83,96,23,82,88,44,22
82,85,96,17,85,88,52,16
80,90,96,25,88,80,26,33
69,81,98,23,82,87,1,19
67,84,97,47,80,79,44,50
75,86,98,30,89,83,30,47
88,90,98,54,87,87,50,51
74,83,95,27,83,84,20,28
79,99,67,39,45,82,52,45
82,100,54,26,49,69,61,19
61,80,80,7,51,70,43,5
71,100,70,62,36,82,62,61
82,100,63,54,42,85,60,61
80,91,81,55,59,85,62,59
69,89,78,43,49,86,54,39
85,100,68,49,44,87,58,59
79,94,83,45,64,85,62,64
86,99,72,53,49,83,67,69
86,100,68,71,31,85,65,71
84,100,72,43,51,83,64,56
77,100,54,55,36,83,71,63
76,98,87,34,56,83,52,43
80,97,71,32,65,82,44,39
73,89,75,38,62,84,57,41
83,99,64,21,48,86,43,37
85,98,76,45,17,87,58,56
80,92,69,58,54,88,67,66
97,86,86,84,76,86,73,75
89,86,77,60,71,79,73,45
87,81,86,74,69,79,66,58
97,78,86,86,73,84,73,74
97,85,83,77,80,83,76,71
91,87,88,83,78,85,72,76
100,76,86,87,75,84,77,85
97,82,87,87,71,80,77,78
99,80,85,83,73,87,76,74
100,80,81,87,68,85,81,85
99,86,67,84,69,90,83,87
100,83,81,87,70,84,77,77
100,77,87,88,63,86,81,84
100,83,83,86,79,85,79,79
97,76,90,86,74,84,79,75
97,83,82,87,78,85,79,80
98,87,87,84,73,87,77,72
100,87,74,84,69,85,81,77
89,76,81,87,68,84,81,84
86,83,83,66,66,84,70,65
93,83,74,73,76,84,75,71
95,81,80,61,64,85,62,58
94,80,86,76,71,84,70,67
99,83,83,69,78,84,71,64
97,82,77,83,82,83,71,79
93,86,70,82,65,84,71,82
96,86,72,72,69,83,74,75
93,80,78,65,69,85,70,71
89,77,80,82,68,82,74,83
98,81,67,83,70,85,70,84
93,79,81,67,65,83,69,64
92,75,78,81,66,85,71,81
87,81,77,71,73,83,72,70
92,76,78,63,63,74,72,66
94,78,76,65,70,81,72,70
87,82,79,59,73,84,73,67
85,80,79,78,70,84,77,81
91,80,81,77,61,81,75,78
54,86,74,41,57,87,66,44
81,83,59,51,50,84,69,52
57,82,63,14,42,78,48,14
66,88,63,57,44,91,66,46
76,79,67,53,66,89,56,51
83,90,74,78,55,95,67,80
77,86,87,74,67,94,70,84
73,88,88,73,69,93,69,74
69,91,76,72,69,94,69,75
89,87,84,81,73,94,80,89
77,90,86,84,71,95,81,91
88,90,81,77,77,93,78,82
77,92,86,73,68,89,75,64
79,87,58,45,68,87,66,51
71,75,76,33,60,87,45,37
83,89,59,65,63,93,71,71
79,89,72,59,53,93,67,62
76,91,54,59,58,95,71,68
83,87,54,72,62,96,72,76
91,95,67,77,76,95,90,81
85,91,74,70,78,96,87,72
91,91,70,66,78,96,80,76
95,90,63,86,63,96,85,88
88,95,45,66,88,95,83,73
96,93,47,68,82,97,94,85
96,90,67,92,59,96,95,97
94,95,87,82,82,96,95,88
97,94,64,88,64,96,94,93
93,91,65,81,64,97,100,89
95,93,62,96,62,97,100,98
91,93,93,73,79,95,99,82
91,95,75,83,71,95,98,87
96,91,70,84,76,97,99,89
86,93,84,78,76,97,95,85
95,93,82,83,77,97,96,89
87,94,90,68,80,98,93,82
97,89,59,86,69,98,97,90
87,92,78,82,70,98,92,86
100,82,91,54,76,67,69,62
96,82,88,47,85,83,65,59
100,84,77,46,84,75,30,59
98,71,83,63,74,82,45,66
99,88,77,48,90,73,72,67
91,81,93,57,88,81,83,58
99,75,80,54,63,88,85,95
97,78,83,51,85,83,86,69
97,81,89,65,78,90,85,74
93,68,79,62,71,88,100,62
90,71,77,85,69,89,100,88
97,79,90,45,81,57,100,73
93,78,89,63,78,87,100,66
100,76,93,57,80,82,93,70
94,73,91,60,79,89,93,73
95,79,90,57,83,90,98,71
92,84,93,38,75,85,81,59
97,76,92,49,73,91,93,70
93,74,97,63,63,89,80,70
87,95,83,70,88,95,80,75
99,94,77,72,77,97,87,81
96,93,63,69,82,96,70,74
